ID,Common_Name,Scientific_Name,Group_Family,Ecosystem_Habitat,Conservation_Status,Dominant_Threats,Conservation_Suggestions,Source_File
177,Talang Queenfish,Scomberoides commersonnianus,Carangidae (Marine Fish),"Marine. Found in coastal waters, lagoons, and near reefs. It is a fast-swimming predatory fish.",Least Concern.,"Fishing pressure from various gear types (trolling, netting).",None specifically needed; monitoring fishing effort is sufficient.,aquaticlife dataset.docx
178,Indian Snapper,Lutjanus johnii,Lutjanidae (Marine Fish),"Marine. Found over rocky bottoms, coral reefs, and in estuaries.",Least Concern.,Overfishing and habitat degradation of coastal areas and estuaries.,Monitoring fishing pressure and protecting key nursery habitats.,aquaticlife dataset.docx
179,Humpback Red Snapper,Lutjanus gibbus,Lutjanidae (Marine Fish),Marine. Associated with offshore coral reefs and rocky areas.,Least Concern.,"Fishing pressure, especially on spawning aggregations. Coral reef degradation.",Protecting core reef habitats and managing fishing on spawning sites.,aquaticlife dataset.docx
180,Russell's Snapper,Lutjanus russellii,Lutjanidae (Marine Fish),"Marine. Found in coastal and estuarine areas, often over mud or rubble.",Least Concern.,Overfishing and coastal habitat loss.,Monitoring fishing effort and protecting estuarine areas.,aquaticlife dataset.docx
181,Blackspot Snapper,Lutjanus fulviflammus,Lutjanidae (Marine Fish),"Marine. Juveniles are found in estuaries and mangroves, while adults inhabit coastal reefs and rocky areas.",Least Concern.,Overfishing and destruction of critical nursery habitats (mangroves and estuaries).,"Protecting mangrove and estuarine ecosystems, and regulating fishing to protect breeding stocks.",aquaticlife dataset.docx
182,Blue-spotted Grouper,Cephalopholis argus,Serranidae (Marine Fish),Marine. Highly associated with coral reefs and rocky bottoms.,Least Concern.,"Fishing pressure, especially spearfishing and hook-and-line fishing. Coral reef degradation.",Establishing Marine Protected Areas (MPAs).,aquaticlife dataset.docx
183,Coral Trout,Plectropomus leopardus,Serranidae (Marine Fish),Marine. Highly prized fish found exclusively in association with coral reefs.,Least Concern.,Heavy fishing pressure and severe coral reef loss due to climate change and pollution.,Strict regulation of fishing and robust protection of coral reef health.,aquaticlife dataset.docx
184,Jewfish (Blackmouth Croaker),Pseudosciaena diacanthus (Synonym for Protonibea diacanthus),Sciaenidae (Marine Fish),"Marine. A large, predatory fish found in coastal and offshore waters, often near estuaries. Prized for its swim bladder.",Near Threatened (The related Giant Croaker is of high concern).,"Extreme fishing pressure driven by the high value of its swim bladder (""sea gold"").","Urgent regional management plans, including size and catch limits.",aquaticlife dataset.docx
185,Starry Triggerfish,Abalistes stellatus,Balistidae (Marine Fish),Marine. Found over sandy and muddy bottoms in deep coastal waters and offshore.,Least Concern.,Often caught as bycatch in trawl fisheries.,None specifically needed.,aquaticlife dataset.docx
186,Indian Threadfin,Polydactylus indicus,Polynemidae (Marine Fish),"Marine. Found in coastal waters and estuaries, typically over muddy substrates. It is a large, highly valued food fish.",Vulnerable.,Severe overfishing and habitat loss in estuarine nursery areas.,Implementing and strictly enforcing fishing quotas and minimum size limits.,aquaticlife dataset.docx
187,Sixfinger Threadfin,Polydactylus sexfilis,Polynemidae (Marine Fish),"Marine. Found in coastal waters, surf zones, and sandy bottoms.",Least Concern.,Fishing pressure.,Monitoring fishing efforts.,aquaticlife dataset.docx
188,White-spotted Spinefoot,Siganus canaliculatus,Siganidae (Marine Fish),"Marine. Found in shallow, coastal waters, seagrass beds, and coral reefs. It is an herbivorous fish.",Least Concern.,Habitat destruction of seagrass beds and coral reefs.,Protecting key feeding habitats.,aquaticlife dataset.docx
189,Indian Mackerel (Short-bodied Mackerel),Rastrelliger brachysoma,Scombridae (Marine Fish),Marine. Found in large schools in coastal waters.,Least Concern.,High fishing pressure and habitat pollution in near-shore spawning areas.,Sustainable fishery management.,aquaticlife dataset.docx
190,Mackerel (Island Mackerel),Rastrelliger faughni,Scombridae (Marine Fish),Marine. Found in large schools in coastal and offshore waters.,Least Concern.,High fishing pressure.,Monitoring fishing effort and stock health.,aquaticlife dataset.docx
191,Horse Mackerel (Indian Horse Mackerel),Trachurus indicus,Carangidae (Marine Fish),"Marine. A schooling, pelagic fish found in coastal and offshore waters.",Least Concern.,Heavy fishing pressure.,Monitoring stock levels.,aquaticlife dataset.docx
192,Giant Sea Catfish,Arius thalassinus,Ariidae (Marine Fish),"Marine. Found in coastal waters, estuaries, and offshore areas over mud bottoms.",Least Concern.,Overfishing and coastal habitat degradation.,Sustainable fishing practices.,aquaticlife dataset.docx
193,Black Bream (Black Sea Bream),Acanthopagrus berda,Sparidae (Marine Fish),"Brackish/Marine. Found in coastal waters, estuaries, and lower reaches of rivers.",Least Concern.,Habitat degradation in estuaries due to pollution and development.,Protection of estuarine habitats.,aquaticlife dataset.docx
194,Silver Sillago (Whiting),Sillago sihama,Sillaginidae (Marine Fish),"Marine. Found in coastal waters, estuaries, and shallow sandy or muddy bottoms.",Least Concern.,Localized overfishing and habitat degradation of inshore waters and estuaries.,Monitoring inshore fishing pressure.,aquaticlife dataset.docx
195,Indian Threadfin (Paradise Threadfin),Polynemus paradiseus,Polynemidae (Marine Fish),"Marine. Found in shallow, coastal waters and estuaries, especially over mud and sand bottoms.",Vulnerable.,Intense fishing pressure and habitat loss in its estuarine nursery areas.,Protecting estuarine habitats and implementing fishing regulations.,aquaticlife dataset.docx
196,Whipfin Mojarra,Gerres filamentosus,Gerreidae (Marine Fish),"Marine. Found in shallow, coastal waters, estuaries, and brackish lagoons.",Least Concern.,Habitat degradation of coastal nursery areas.,Protecting estuarine habitats.,aquaticlife dataset.docx
197,Green Chromide (Pearlspot),Etroplus suratensis,Cichlidae (Freshwater Fish),"Brackish/Freshwater. Found in estuaries, backwaters, and coastal freshwater lakes. It is the state fish of Kerala.",Least Concern.,Habitat loss in brackish water environments due to human development and pollution.,Protecting backwater and estuarine ecosystems.,aquaticlife dataset.docx
198,Indian Skittering Frog (Indian Pond Frog),Euphlyctis hexadactylus,Dicroglossidae (Amphibian),"Freshwater. This large frog is highly aquatic and lives in ponds, lakes, and other permanent water bodies.",Least Concern.,Habitat loss due to the draining of wetlands and pollution of water bodies.,Protecting and restoring wetland habitats.,aquaticlife dataset.docx
199,Laterite Chorus Frog,Microhyla laterite,Microhylidae (Amphibian),Freshwater (Endemic). Found exclusively in laterite rock formations and associated temporary pools and puddles in the coastal areas of Karnataka and Goa.,Data Deficient (Likely threatened due to small range).,Habitat loss due to laterite quarrying and conversion of land for construction and agriculture.,Urgent protection of laterite plateaus and associated seasonal habitats.,aquaticlife dataset.docx
200,Bombay Caecilian,Ichthyophis bombayensis,Ichthyophiidae (Amphibian),Freshwater (Aquatic/Terrestrial). A burrowing species found in moist soil of moist evergreen forests and near streams.,Least Concern.,Habitat loss due to deforestation and human encroachment.,Protecting its native forest habitats.,aquaticlife dataset.docx
201,Scarlet-banded Barb,Puntius amphibius,Cyprinidae (Freshwater Fish),"Freshwater. Found in rivers, streams, ponds, and reservoirs throughout the low to mid-elevations of peninsular India. Highly adaptable.",Least Concern.,"Habitat degradation from pollution and siltation, and overfishing for local consumption and bait.",Monitoring water quality and promoting sustainable local fishing practices.,aquaticlife dataset.docx
202,Arulius Barb,Puntius arulius (Now Dawkinsia arulius),Cyprinidae (Freshwater Fish),"Freshwater. Endemic to the Cauvery River system in South India, preferring clear, running streams with rocky beds.",Vulnerable.,Habitat loss due to dams and agricultural encroachment. Over-collection for the international ornamental fish trade is a major factor.,Strict regulation of collection for the aquarium trade. Protection and restoration of its endemic river habitats.,aquaticlife dataset.docx
203,Bowany Barb,Puntius bovanicus (Now Dawkinsia bovanica),Cyprinidae (Freshwater Fish),Freshwater. Found in rivers and streams in the Bhavani River system (a Cauvery tributary) and surrounding areas of the Western Ghats.,Vulnerable.,Habitat degradation caused by dams and weirs which alter natural water flow and block migration. Overfishing is a localized threat.,Ensuring environmental flow requirements in regulated rivers and monitoring fishing pressure.,aquaticlife dataset.docx
204,Long-snouted Barb,Puntius dorsalis (Now Dawkinsia dorsalis),Cyprinidae (Freshwater Fish),"Freshwater. Found in streams, rivers, and ponds throughout peninsular India and Sri Lanka.",Least Concern.,Pollution and habitat loss due to human activity.,Maintaining water quality in its varied habitats.,aquaticlife dataset.docx
205,Mahecola Barb,Puntius mahecola (Now Dawkinsia mahecola),Cyprinidae (Freshwater Fish),Freshwater. Found in streams and rivers of the southern Western Ghats.,Vulnerable.,Habitat degradation and fragmentation due to deforestation and agriculture.,Protecting the forest streams in its endemic range.,aquaticlife dataset.docx
206,Narayan's Barb,Puntius narayani (Now Puntius narayani),Cyprinidae (Freshwater Fish),Freshwater. Endemic to the Cauvery River system in Karnataka. Found in clear streams.,Vulnerable.,"Habitat loss from deforestation, leading to siltation, and fragmentation from dams.",Protecting river connectivity and controlling siltation.,aquaticlife dataset.docx
207,Rohan's Barb,Puntius rohani (Now Puntius rohani),Cyprinidae (Freshwater Fish),Freshwater. Endemic to the southern Western Ghats in Kerala. Found in hill streams.,Vulnerable.,Habitat loss and localized over-collection for the aquarium trade.,Monitoring collection and habitat protection.,aquaticlife dataset.docx
208,Wynaad Barb,Puntius wynaadensis,Cyprinidae (Freshwater Fish),"Freshwater. Endemic to the Wayanad region (Western Ghats), found in clear, upland streams and rivers.",Vulnerable.,"Habitat loss and fragmentation due to deforestation, micro-hydro projects, and agricultural pollution.",Protecting the hill stream habitats and maintaining riparian health.,aquaticlife dataset.docx
209,Assamese Garra,Garra gotyla,Cyprinidae (Freshwater Fish),"Freshwater. Found in rocky streams and rivers with fast current, mainly across northern, central, and parts of peninsular India.",Least Concern.,Habitat degradation from sand and gravel mining and river pollution.,Protecting river substrates and controlling pollution.,aquaticlife dataset.docx
210,Hugh's Garra,Garra hughi,Cyprinidae (Freshwater Fish),"Freshwater. Endemic to the upper reaches of rivers in the southern Western Ghats (Kerala and Tamil Nadu). Prefers clear, running water.",Vulnerable.,Habitat loss due to hydroelectric projects and water abstraction for irrigation.,Protecting the water flow and quality of its endemic habitats.,aquaticlife dataset.docx
211,Surendranath's Garra,Garra surendranathanii,Cyprinidae (Freshwater Fish),Freshwater. Endemic to the Periyar River system in the southern Western Ghats. Found in swift-flowing streams.,Vulnerable.,Habitat degradation and fragmentation from dams and human activities along the river.,Protecting the critical river stretches and regulating sand mining.,aquaticlife dataset.docx
212,Nilgiri Loach,Schistura nilgiriensis,Nemacheilidae (Freshwater Fish),"Freshwater. Endemic to the Nilgiri Hills in the Western Ghats. Found in clear, fast-flowing hill streams.",Endangered.,"Habitat loss due to the conversion of shola forests to tea and coffee plantations, leading to water abstraction and habitat degradation.",Protection of headwater streams and shola forest patches.,aquaticlife dataset.docx
213,Semiarmatus Loach,Schistura semiarmatus,Nemacheilidae (Freshwater Fish),"Freshwater. Found in hill streams and rivers in the Western Ghats region, preferring clear, cool, and fast-flowing water.",Least Concern.,Habitat degradation from siltation and pollution.,Maintaining the ecological health of its stream habitats.,aquaticlife dataset.docx
214,Semiarmatus Loach,Nemacheilus semiarmatus,Nemacheilidae (Freshwater Fish),Freshwater. This name is an older synonym for Schistura semiarmatus (see No. 213). Habitat is hill streams and rivers in the Western Ghats.,Least Concern.,Habitat degradation.,Stream habitat protection.,aquaticlife dataset.docx
215,Mola Carplet,Amblypharyngodon mola,Cyprinidae (Freshwater Fish),"Freshwater. A small, schooling fish found in ponds, canals, ditches, and slow-moving water bodies across India.",Least Concern.,Habitat loss due to the draining of small wetlands and pollution.,Protection of small freshwater bodies.,aquaticlife dataset.docx
216,Attentive Carplet,Amblypharyngodon melettinus,Cyprinidae (Freshwater Fish),"Freshwater. Found in ponds, tanks, and streams primarily in peninsular India.",Least Concern.,Habitat loss and competition from introduced fish species.,None specifically required.,aquaticlife dataset.docx
217,Reba Carp,Cirrhinus reba,Cyprinidae (Freshwater Fish),"Freshwater. Found in rivers, canals, and tanks, often associated with the three major Indian carps (Catla, Rohu, Mrigal).",Least Concern.,Overfishing and habitat degradation in river systems.,Sustainable management of river fisheries.,aquaticlife dataset.docx
218,Vigors' Carp,Osteobrama vigorsii,Cyprinidae (Freshwater Fish),Freshwater. Endemic to the Krishna and Godavari River systems. Found in reservoirs and deeper pools of rivers.,Least Concern.,Habitat fragmentation from dams and introduction of non-native species.,Managing dam operations to allow for fish migration.,aquaticlife dataset.docx
219,Neill's Carp,Osteobrama neilli,Cyprinidae (Freshwater Fish),"Freshwater. Endemic to the Krishna, Godavari, and Cauvery River systems in peninsular India.",Least Concern.,Habitat loss due to river regulation (dams) and pollution.,Protecting its riverine habitats.,aquaticlife dataset.docx
220,Golden Barb,Systomus chryseus (Previously Puntius chryseus),Cyprinidae (Freshwater Fish),Freshwater. Found in streams and rivers of the southern Western Ghats.,Vulnerable.,Habitat loss and over-collection for the ornamental fish trade.,Monitoring the ornamental fish trade and protecting its stream habitats.,aquaticlife dataset.docx
221,Canara Baril,Barilius canarensis,Cyprinidae (Freshwater Fish),"Freshwater (Endemic). Found in hill streams and rivers of the Western Ghats (Karnataka). Prefers clear, rocky-bottomed, fast-flowing water.",Vulnerable.,Habitat degradation due to siltation and alteration of stream flow from water abstraction or small dams.,Protecting the stream quality and maintaining natural flow.,aquaticlife dataset.docx
222,Cauvery Rasbora,Rasbora caverii,Cyprinidae (Freshwater Fish),"Freshwater. Endemic to the Cauvery River drainage system. Found in clear, moderately flowing streams and rivers.",Vulnerable.,"Habitat degradation due to pollution, siltation, and fragmentation caused by damming projects.",Protecting key stretches of the Cauvery tributaries and controlling pollution.,aquaticlife dataset.docx
223,Ghats Baril,Barilius gatensis,Cyprinidae (Freshwater Fish),"Freshwater. Endemic to the Western Ghats, inhabiting clear, torrential hill streams and upper reaches of rivers.",Least Concern.,Localized threats from habitat loss due to small check dams and water diversion.,Maintaining the natural flow and quality of its endemic hill streams.,aquaticlife dataset.docx
224,Vagra Baril,Barilius vagra,Cyprinidae (Freshwater Fish),"Freshwater. Found in clear, fast-flowing rivers and streams throughout the northern Indian subcontinent and parts of peninsular India.",Least Concern.,No major threats; it is a widespread and common species.,None specifically needed.,aquaticlife dataset.docx
225,Day's Baril,Barilius evezardi,Cyprinidae (Freshwater Fish),"Freshwater. Found in hill streams and rivers in the Satpura, Vindhya, and Western Ghats ranges, typically favoring clear, fast-flowing water.",Least Concern.,Habitat degradation from sand and gravel mining and river pollution.,Protecting the water quality of its stream habitats.,aquaticlife dataset.docx
226,Wynaad Mahseer,Neolissochilus wynaadensis,Cyprinidae (Freshwater Fish),"Freshwater (Endemic). Found exclusively in clear, fast-flowing hill streams and rivers of the Wayanad region (Western Ghats).",Endangered.,"Habitat loss and fragmentation due to river damming, siltation from deforestation, and pollution from agricultural runoff. Overfishing is also a threat.",Urgent protection of its endemic river stretches. Regulating land use in the catchment areas to prevent siltation and pollution.,aquaticlife dataset.docx
227,Pabo Catfish,Ompok pabo,Siluridae (Freshwater Fish),"Freshwater. Found in rivers and lakes, preferring deep pools with muddy bottoms. It is a highly valued food fish.",Vulnerable.,Overfishing due to high market price. Habitat degradation and wetland draining also contribute to its decline.,Implementing fishing regulations and protecting its deep-water river and wetland habitats.,aquaticlife dataset.docx
228,Red-tail Catfish,Aorichthys aor,Bagridae (Freshwater Fish),"Freshwater. A large catfish found in main river channels and large reservoirs, preferring deep, clear water.",Near Threatened.,"Overfishing for its meat and habitat degradation in major river systems, including pollution and flow regulation from dams.",Regulating fishing size limits and protecting the health of large rivers.,aquaticlife dataset.docx
229,Children's Silond,Silonia childreni,Schilbeidae (Freshwater Fish),Freshwater. Found in large rivers and reservoirs in peninsular India. It is a schooling fish.,Least Concern.,Overfishing and habitat fragmentation due to river damming.,Sustainable management of fishing and maintaining river connectivity.,aquaticlife dataset.docx
230,Pangasius Catfish,Pangasius pangasius,Pangasiidae (Freshwater Fish),Freshwater. Found in large rivers and estuaries. It is a migratory species.,Vulnerable.,Habitat fragmentation from dams blocking migratory routes. Overfishing and competition from introduced Pangasianodon species.,Protecting migratory routes and controlling the illegal stocking of non-native Pangasianodon species.,aquaticlife dataset.docx
231,Gogra Rita,Rita gogra,Bagridae (Freshwater Fish),Freshwater. Found in large rivers and deep pools.,Least Concern.,Overfishing and habitat degradation in major river systems.,Promoting sustainable fishing practices.,aquaticlife dataset.docx
232,Golden Rita,Rita chrysea,Bagridae (Freshwater Fish),Freshwater. Found in rivers in the Mahanadi River basin and surrounding areas.,Least Concern.,Habitat degradation and localized overfishing.,None specifically required; monitoring local water quality.,aquaticlife dataset.docx
233,Dussumier's Catfish,Clarias dussumieri,Clariidae (Freshwater Fish),Freshwater. Found in slow-moving or stagnant water bodies in the southern Western Ghats (Kerala). It is an air-breathing fish.,Vulnerable.,Habitat loss due to the draining of wetlands and competition/hybridization with the invasive African Catfish.,Protecting wetland habitats and controlling invasive catfish species.,aquaticlife dataset.docx
234,Goonch Catfish,Bagarius yarrelli,Sisoridae (Freshwater Fish),"Freshwater (Large Rivers). A very large, predatory catfish found in the main channels of large, fast-flowing rivers.",Near Threatened.,"Overfishing (highly prized game fish), river habitat degradation (sand mining, pollution), and fragmentation from dams.",Regulating fishing and protecting the health and flow of large river ecosystems.,aquaticlife dataset.docx
235,Poona Sisorid,Glyptothorax poonaensis,Sisoridae (Freshwater Fish),Freshwater. Found in hill streams and rivers in the northern Western Ghats. It has a specialized adhesive structure on its chest to cling to rocks.,Least Concern.,Habitat degradation (siltation and pollution) and alteration of water flow.,"Protecting the fast-flowing, clear stream habitats.",aquaticlife dataset.docx
236,Tank Goby,Glossogobius giuris,Gobiidae (Freshwater Fish),"Freshwater. Highly adaptable, found in rivers, lakes, reservoirs, and estuaries.",Least Concern.,None major; it is highly adaptable and widespread.,None specifically needed.,aquaticlife dataset.docx
237,Asian Sea Bass (Bhekti),Lates calcarifer,Latidae (Marine/Brackish Fish),"Brackish/Marine. Found in estuaries, coastal waters, rivers, and lagoons. Juveniles utilize mangrove areas.",Least Concern.,Overfishing and habitat loss in critical mangrove and estuarine nursery areas.,Protecting estuarine and mangrove habitats.,aquaticlife dataset.docx
238,Spotted Snapper,Lutjanus johnii,Lutjanidae (Marine Fish),"Marine. Found over rocky bottoms, coral reefs, and in estuaries.",Least Concern.,Overfishing and habitat degradation of coastal areas and estuaries.,Monitoring fishing pressure and protecting key nursery habitats.,aquaticlife dataset.docx
239,Areolate Grouper,Epinephelus areolatus,Serranidae (Marine Fish),Marine. Found over sandy and muddy bottoms near reefs and rocky areas in coastal waters.,Least Concern.,Fishing pressure from trawling and hook-and-line.,Monitoring and regulating fishing pressure.,aquaticlife dataset.docx
240,Orange-spotted Grouper,Epinephelus coioides,Serranidae (Marine Fish),"Marine. Found in coastal and offshore reefs, rocky areas, and estuaries.",Near Threatened.,Heavy fishing pressure and destruction of coral reef and mangrove habitats.,Establishing Marine Protected Areas (MPAs) and implementing size limits.,aquaticlife dataset.docx
241,King Mackerel (Narrow-barred Spanish Mackerel),Scomberomorus commerson,Scombridae (Marine Fish),"Marine. A large, highly migratory, pelagic fish found in coastal and offshore waters.",Least Concern.,High commercial fishing pressure across its range.,Regional cooperation on implementing fishing quotas and size limits.,aquaticlife dataset.docx
242,Indo-Pacific King Mackerel,Scomberomorus guttatus,Scombridae (Marine Fish),Marine. Found in coastal waters over the continental shelf.,Least Concern.,Heavy fishing pressure.,Implementing size limits and managing fishing quotas.,aquaticlife dataset.docx
243,Frigate Tuna,Auxis thazard,Scombridae (Marine Fish),"Marine. A small, schooling, pelagic fish found in coastal and offshore waters.",Least Concern.,High fishing pressure.,Monitoring fishing effort.,aquaticlife dataset.docx
244,Kawakawa (Little Tuna),Euthynnus affinis,Scombridae (Marine Fish),"Marine. A fast-swimming, pelagic fish found in coastal and offshore waters, often in large schools.",Least Concern.,High fishing pressure.,Monitoring stock levels to ensure sustainable harvest.,aquaticlife dataset.docx
245,Giant Trevally,Caranx ignobilis,Carangidae (Marine Fish),"Marine. Found in reefs, open coastal waters, and estuaries. A large, predatory fish.",Least Concern.,Overfishing.,Regulating fishing size and catch limits.,aquaticlife dataset.docx
246,Yellowtail Scad,Atule mate,Carangidae (Marine Fish),"Marine. A schooling, pelagic fish found in coastal waters and around islands.",Least Concern.,Heavy fishing pressure.,Monitoring catch levels to prevent overexploitation.,aquaticlife dataset.docx
247,Splendid Ponyfish,Leiognathus splendens,Leiognathidae (Marine Fish),"Marine. Found in coastal waters, estuaries, and mudflats. It's a small, schooling fish commonly caught by trawlers.",Least Concern.,Heavy fishing pressure and coastal habitat degradation.,Monitoring stock levels.,aquaticlife dataset.docx
248,Bindus Ponyfish,Leiognathus bindus,Leiognathidae (Marine Fish),"Marine. Inhabits coastal and brackish waters, often found over muddy bottoms.",Least Concern.,Heavy fishing pressure and coastal pollution.,Sustainable fishing practices in coastal areas.,aquaticlife dataset.docx
249,Indian White Prawn,Penaeus indicus,Penaeidae (Crustacean),Marine. Juveniles are found in estuaries and backwaters (nursery grounds); adults live in coastal marine waters.,Not Evaluated (Under review due to intense fishing).,Intensive fishing pressure and habitat loss in estuarine nursery areas due to pollution and coastal development.,Sustainable fishery management and protecting estuarine ecosystems.,aquaticlife dataset.docx
250,Tiger Prawn (Giant Tiger Prawn),Penaeus monodon,Penaeidae (Crustacean),Marine. Juveniles use estuaries and mangroves as nursery grounds; adults live in coastal and offshore marine waters.,Not Evaluated (Heavily exploited).,Intense fishing pressure and habitat loss and pollution of mangrove and estuarine nursery areas.,"Sustainable fishing regulations, protection of mangrove habitats, and best practices for aquaculture.",aquaticlife dataset.docx
251,Mud Crab,Scylla serrata,Portunidae (Crustacean),"Brackish/Marine. Found in mangrove forests, estuaries, and muddy coastal areas. Highly valued commercial species.","Not Evaluated (Globally common, but stocks are heavily fished).","Heavy, unregulated fishing pressure and the destruction of mangrove habitats which are essential for the crab's life cycle and as nursery grounds.","Regulating fishing size limits, especially to protect female crabs. Urgent protection and restoration of mangrove ecosystems.",aquaticlife dataset.docx
252,Blue Swimming Crab,Portunus pelagicus,Portunidae (Crustacean),Marine. Found in coastal and estuarine waters over sand and mud bottoms. Highly valued commercial species.,Not Evaluated (Under constant review due to high commercial importance).,"Intense, unregulated fishing pressure and destruction of coastal nursery habitats (e.g., seagrass beds).","Implementing seasonal closures and strict size regulations, especially to protect spawning females. Protecting seagrass and estuarine habitats.",aquaticlife dataset.docx
253,Octopus,Octopus sp. (General),Octopodidae (Mollusc),"Marine. Found in various habitats, including coral reefs, rocky areas, and sandy/muddy bottoms, from intertidal zones to deep water.","Varies widely by species; common commercial species are generally Least Concern, but data is often lacking.","Fishing pressure, often as bycatch but increasingly targeted. Habitat destruction (e.g., destructive fishing practices on reefs).",Implementing responsible fishing practices; protecting coastal and benthic habitats.,aquaticlife dataset.docx
254,Squid (Indian Squid),Loligo duvaucelii,Loliginidae (Mollusc),"Marine. Found in coastal and offshore waters over the continental shelf. They are fast-growing, short-lived pelagic predators.",Least Concern.,"Intense fishing pressure (targeted by jigging and trawling). While stocks are resilient due to rapid life cycles, fishing effort must be monitored.",Regional monitoring of fishing effort and sustainable management plans.,aquaticlife dataset.docx
255,Green Mussel,Perna viridis,Mytilidae (Mollusc),"Marine (Coastal). Found attached to rocky substrates, jetties, and boat hulls in the intertidal and subtidal zones of coastal waters.",Not Evaluated.,"Pollution (as filter feeders, they accumulate toxins), over-harvesting in localized areas, and competition from invasive species.",Monitoring coastal water quality and promoting sustainable harvesting practices.,aquaticlife dataset.docx
256,Yellowfin Halfbeak,Hyporhamphus xanthopterus,Hemiramphidae (Marine Fish),"Marine. Found in coastal and estuarine waters, often near the surface.",Data Deficient.,Habitat degradation in coastal and estuarine areas is a potential threat.,Further research is needed to determine its conservation status and distribution.,aquaticlife dataset.docx
257,Malabar Sole,Cynoglossus macrostomus,Cynoglossidae (Marine Fish),Marine. A flatfish found on muddy and sandy bottoms in coastal waters.,Least Concern.,Trawl fishing pressure can impact stocks and damage benthic habitats.,Sustainable management of bottom trawling.,aquaticlife dataset.docx
258,Eel Catfish (Striped Catfish),Plotosus lineatus,Plotosidae (Marine Fish),"Marine/Brackish. Found in coastal areas, estuaries, and coral reefs. It is a schooling fish and possesses venomous spines.",Least Concern.,None major; it's widespread and highly adaptable.,None specifically needed.,aquaticlife dataset.docx
259,Ribbonfish (Largehead Hairtail),Trichiurus lepturus,Trichiuridae (Marine Fish),"Marine. Found over continental shelves, often in large schools near the bottom or in mid-water.",Least Concern.,"Heavy fishing pressure due to high commercial value, often caught by bottom trawling.",Monitoring fishing intensity and managing trawl fishing to minimize bycatch and habitat damage.,aquaticlife dataset.docx
260,Bombay Duck (Bummalow),Harpadon nehereus,Synodontidae (Marine Fish),"Marine. Found in coastal waters, estuaries, and offshore. It is a major commercial species, commonly processed and dried.",Least Concern.,"Intense fishing pressure, although its rapid growth and abundance make it resilient.",Monitoring stock levels to prevent overexploitation.,aquaticlife dataset.docx
261,Greater Lizardfish,Saurida tumbil,Synodontidae (Marine Fish),Marine. Found on sandy and muddy bottoms of the continental shelf in coastal and deeper waters.,Least Concern.,Trawl fishing pressure as it is often caught as bycatch.,Sustainable management of bottom trawling.,aquaticlife dataset.docx
262,Fine-scale Lizardfish,Saurida microlepis,Synodontidae (Marine Fish),Marine. Found on sandy and muddy bottoms of the continental shelf.,Least Concern.,Trawl fishing pressure.,Sustainable management of bottom trawling activities.,aquaticlife dataset.docx
263,Malabar Snapper,Lutjanus malabaricus,Lutjanidae (Marine Fish),Marine. Found in coastal and offshore waters near rocky reefs and coral formations.,Near Threatened.,"Heavy fishing pressure due to its high commercial value. Susceptible to overfishing due to being a slow-growing, long-lived reef species.",Implementing Marine Protected Areas (MPAs) and enforcing strict size and catch limits.,aquaticlife dataset.docx
264,Crimson Snapper,Lutjanus erythropterus,Lutjanidae (Marine Fish),Marine. Found on offshore reefs and rocky bottoms.,Least Concern.,Fishing pressure as it is a commercially important reef fish.,Implementing size limits and protecting reef habitats.,aquaticlife dataset.docx
265,Grey Mullet (Striped Mullet),Mugil cephalus,Mugilidae (Marine Fish),"Brackish/Marine. Highly adaptable, found in coastal lagoons, estuaries, and offshore waters. It is an important food fish.",Least Concern.,Habitat degradation in estuaries (crucial nursery areas) from pollution and development.,Protecting and restoring estuarine habitats and managing water quality.,aquaticlife dataset.docx
266,Largescale Mullet,Liza macrolepis,Mugilidae (Marine Fish),"Brackish/Marine. Found in estuaries, lagoons, and coastal waters.",Least Concern.,Pollution and habitat degradation in its coastal and estuarine habitats.,Reducing coastal pollution and protecting nursery grounds.,aquaticlife dataset.docx
267,Blue-tail Mullet,Valamugil seheli,Mugilidae (Marine Fish),"Marine. Found in coastal and estuarine waters, often entering fresh water.",Least Concern.,Overfishing and coastal habitat degradation.,Monitoring fishing pressure.,aquaticlife dataset.docx
268,Indian Threadfin,Polynemus indicus,Polynemidae (Marine Fish),"Marine. Found in coastal waters and estuaries, typically over muddy substrates. It is a large, highly valued food fish.",Vulnerable.,Severe overfishing and habitat loss in estuarine nursery areas.,Implementing and strictly enforcing fishing quotas and minimum size limits. Protecting estuarine and near-shore habitats.,aquaticlife dataset.docx
269,Sixfinger Threadfin,Polydactylus sexfilis,Polynemidae (Marine Fish),"Marine. Found in coastal waters, surf zones, and sandy bottoms.",Least Concern.,Fishing pressure.,Monitoring fishing efforts.,aquaticlife dataset.docx
270,Silver Sillago (Whiting),Sillago sihama,Sillaginidae (Marine Fish),"Marine. Found in coastal waters, estuaries, and shallow sandy or muddy bottoms.",Least Concern.,Localized overfishing near coastal areas and habitat degradation of inshore waters and estuaries.,Monitoring inshore fishing pressure and protecting estuarine nursery habitats.,aquaticlife dataset.docx
271,White-spotted Spinefoot,Siganus canaliculatus,Siganidae (Marine Fish),"Marine. Found in shallow, coastal waters, seagrass beds, and coral reefs. It is an herbivorous fish.",Least Concern.,Habitat destruction of seagrass beds and coral reefs.,Protecting key feeding habitats like seagrass beds and reefs.,aquaticlife dataset.docx
