Species_Name,Scientific_Name,Class_Type,Group_Family,Ecosystem,Habitat_Details,Conservation_Status,IUCN_Status_Code,Dominant_Threat_Factor,Conservation_Suggestions_Detailed,N_Current_Pop_Size,r_Intrinsic_Growth_Rate,Es_Environmental_Stochasticity,Habitat_Quality_Index,Threat_Score_Pollution,Threat_Score_Overfishing,Threat_Score_ClimateChange,Overharvest_Rate,Conservation_Priority_Score
Tiger Prawn,Penaeus monodon,Giant Tiger Prawn,Penaeidae,Marine,Juveniles use estuaries and mangroves as nursery grounds; adults live in coastal and offshore marine waters.,Not Evaluated,N/A,Intense fishing pressure from trawling and gillnets,"Sustainable fishing regulations, protection of mangrove habitats, and best practices for aquaculture to prevent disease transfer.",26373.28571,0.158604515,0.211086567,0.38162608,0.44114836,0.423773778,0.469808234,0.13064477,4.72
Flower Prawn,Penaeus semisulcatus,Crustacean,Penaeidae,Marine,Found in coastal waters over sandy and muddy bottoms. Juveniles often found in brackish water.,Not Evaluated,N/A,Heavy fishing pressure and habitat degradation of coastal nursery areas,Monitoring stock levels and ensuring fishing practices are sustainable.,25921.14286,0.117517915,0.164491547,0.441204814,0.437188255,0.371380097,0.418505606,0.136329472,4.55
Brown Shrimp,Metapenaeus monoceros,Crustacean,Penaeidae,Marine,Found over muddy and sandy bottoms in coastal waters and estuaries. It is a highly important commercial shrimp.,Not Evaluated,N/A,Intensive trawling and coastal pollution affecting its breeding and nursery grounds,Regulating bottom trawling to reduce fishing mortality and bycatch.,20682.42857,0.126475197,0.132524842,0.638739917,0.502284747,0.551193426,0.592794104,0.10468059,5.24
Green Tiger Prawn,Penaeus monodon,Crustacean,Penaeidae,Marine,This is a repetition of the Tiger Prawn (Penaeus monodon).,Not Evaluated,N/A,Intense fishing and coastal,Sustainable fishing and protection of mangrove habitats.,20704.14286,0.126672845,0.202191235,0.682434316,0.606743768,0.464041879,0.416301171,0.086520129,4.98
Octopus,Octopus sp. (General),General,Octopodidae,Marine,"Found in various habitats, including coral reefs, rocky areas, and sandy/muddy bottoms, from intertidal zones to deep water.",Varies widely by species,N/A,"Fishing pressure, often as bycatch but increasingly targeted",Implementing responsible fishing practices; protecting coastal and benthic habitats.,22377.42857,0.083422376,0.187664348,0.534051693,0.483925953,0.480627512,0.462367744,0.090852934,4.88
Squid,Loligo duvaucelii (Indian Squid),Indian Squid,Loliginidae,Marine,"Found in coastal and offshore waters over the continental shelf. They are fast-growing, short-lived pelagic predators.",Least Concern,LC,Intense fishing pressure,Regional monitoring of fishing effort and sustainable management plans.,30834.57143,0.131367307,0.183747672,0.704552041,0.469246748,0.55550743,0.465762666,0.091718127,3.48
Giant Scad,Caranx ignobilis,Marine Fish,Carangidae,Marine,"This is a repetition of the Giant Trevally (Caranx ignobilis) (see No. 175). Found in reefs, open coastal waters, and estuaries.",Least Concern,LC,Overfishing,Regulating fishing size and catch limits.,25910.14286,0.141370648,0.160955241,0.540569098,0.483104147,0.396240682,0.437500102,0.125219379,3.19
Yellowfin Bream,Acanthopagrus berda,Black Sea Bream,Sparidae,Brackish,"Brackish/Marine. Found in coastal waters, estuaries, and lower river reaches.",Least Concern,LC,Habitat degradation in estuaries due to pollution and development,Protection of estuarine habitats.,25889.57143,0.116405664,0.209352358,0.66953982,0.53008405,0.472602187,0.392125356,0.08421786,3.32
Tigertooth Croaker,Otolithes ruber,Marine Fish,Sciaenidae,Marine,"Found in coastal waters, estuaries, and offshore over sand or mud bottoms. Highly valued for its swim bladder.",Least Concern,LC,"Intense fishing pressure, particularly due to the high value of its swim bladder",Managing fishing effort and implementing appropriate size limits.,26631.42857,0.131522772,0.225868642,0.452470113,0.377279527,0.462130796,0.488352521,0.150020354,3.21
White Grunt,Pomadasys hasta,Silver Grunt,Haemulidae,Marine,"Found in coastal waters, estuaries, and turbid areas, often over sand or mud bottoms.",Least Concern,LC,Overfishing and coastal habitat degradation,Sustainable fishing practices.,26079.42857,0.110862223,0.170473844,0.664862744,0.471443073,0.4246417,0.61296707,0.166602745,3.52
Blue,Neotrygon kuhlii,Marine Fish,Dasyatidae,Marine,Found on sandy bottoms near coral reefs in shallow coastal waters.,Near Threatened,NT,Bycatch in bottom trawling and gillnet fisheries,Reducing fishing efforts in sensitive coastal areas and protecting reef habitats.,30828.14286,0.067362298,0.213293034,0.622672956,0.483634077,0.355159143,0.518161386,0.132302436,4.26
Reticulate Whipray,Himantura uarnak,Marine Fish,Dasyatidae,Marine,"Found in coastal waters, estuaries, and coral reefs.",Vulnerable,VU,Heavy fishing pressure and habitat loss of coastal and estuarine environments,Regulating fishing and protecting coastal and estuarine habitats.,22929.28571,0.177987266,0.19754328,0.634325353,0.522896587,0.518430641,0.574170908,0.160314434,5.69
Indian Glassy Perchlet,Ambassis nama,Freshwater Fish,Ambassidae,Freshwater,"Found in stagnant or slow-moving water bodies like ponds, ditches, and tanks. It can tolerate slightly brackish water.",Least Concern,LC,Habitat loss due to the draining of small water bodies and pollution,None specifically needed; highly adaptable.,25830.71429,0.124837777,0.19161374,0.664504886,0.638902601,0.369404431,0.52632264,0.132936889,3.56
Malabar Sole,Cynoglossus macrostomus,Marine Fish,Cynoglossidae,Marine,A flatfish found on muddy and sandy bottoms in coastal waters.,Least Concern,LC,Trawl fishing pressure,Sustainable management of bottom trawling.,29342.57143,0.109023782,0.172877029,0.562510079,0.500962511,0.657330345,0.579653847,0.150664744,3.9
Needlefish,Tylosurus crocodilus,Crocodile Needlefish,Belonidae,Marine,"Found in coastal and open ocean waters, often near the surface.",Least Concern,LC,Fishing pressure as bycatch and some localized targeting,None specifically needed.,22296,0.138586388,0.202383422,0.52415877,0.527252212,0.46175145,0.41777107,0.092080519,3.34
Halfbeak,Hyporhamphus xanthopterus,Marine Fish,Hemiramphidae,Marine,"Found in coastal and estuarine waters, often near the surface.",Data Deficient,DD,Habitat degradation in coastal and estuarine areas,Further research is needed to determine its conservation status.,18732.28571,0.148366329,0.222277021,0.512510422,0.624095942,0.546092774,0.450149579,0.18566706,5.2
White Sardinella,Sardinella albella,Marine Fish,Clupeidae,Marine,Found in coastal waters in large schools.,Least Concern,LC,Heavy fishing pressure,Implementing size limits and monitoring stock health.,30326.42857,0.151803938,0.180685227,0.518203318,0.577711226,0.4897486,0.491598341,0.111265514,3.6
Gold,Sardinella gibbosa,Marine Fish,Clupeidae,Marine,Found in coastal waters in large schools.,Least Concern,LC,Heavy fishing pressure,Sustainable fishery management.,19254.42857,0.146505369,0.193748767,0.471703589,0.432354019,0.278631471,0.610778187,0.14184634,3.2
Indian Pellona,Ilisha melastoma,Marine Fish,Pristigasteridae,Marine,Found in coastal waters and estuaries.,Least Concern,LC,Fishing pressure and coastal pollution,Pollution control in coastal areas.,19439.71429,0.151432722,0.194386397,0.514668138,0.459251834,0.270516431,0.516280466,0.105471881,3.08
Moustache Anchovy,Thrissocles mystax,Marine Fish,Engraulidae,Marine,Found in coastal and estuarine waters. Forms large schools.,Least Concern,LC,Heavy fishing pressure,Monitoring stock levels.,26392,0.13701637,0.206510399,0.60458565,0.521750176,0.448163814,0.533328022,0.16338098,3.51
Bombay Anchovy,Stolephorus indicus,Marine Fish,Engraulidae,Marine,Found in coastal waters in large schools.,Least Concern,LC,High fishing pressure,Sustainable fishery management.,34645.85714,0.133494863,0.180903224,0.458466881,0.628497548,0.416365203,0.56819055,0.122193845,3.69
Indian Mackerel,Rastrelliger kanagurta,Marine Fish,Scombridae,Marine,Found in large schools in coastal waters.,Least Concern,LC,High fishing pressure and habitat pollution in near,Sustainable fishery management and reducing coastal pollution.,37280.28571,0.125773391,0.226072349,0.775103132,0.574461328,0.524715512,0.509488732,0.098882353,3.68
Tuna,Thunnus albacares,Yellowfin Tuna,Scombridae,Marine,"A large, highly migratory pelagic fish found in tropical and subtropical ocean waters.",Near Threatened,NT,Intense global fishing pressure,"International and regional fishery management plans, including quotas and size limits.",26873.42857,0.130048895,0.203874326,0.83161401,0.437439643,0.369680535,0.473650098,0.159461352,4.13
Skipjack Tuna,Katsuwonus pelamis,Marine Fish,Scombridae,Marine,"A small, fast-growing, highly migratory pelagic fish found in open tropical and subtropical ocean waters.",Least Concern,LC,High commercial fishing pressure,International cooperation on fishery management.,17699.28571,0.163712612,0.163638636,0.667756644,0.41073761,0.497914643,0.598379034,0.168256019,3.51
Frigate Tuna,Auxis thazard,Marine Fish,Scombridae,Marine,"A small, schooling, pelagic fish found in coastal and offshore waters.",Least Concern,LC,High fishing pressure,Monitoring fishing effort.,20731.42857,0.13068398,0.174804217,0.559703619,0.420428466,0.334968948,0.388959141,0.146879114,2.91
Indo,Scomberomorus guttatus,Marine Fish,Scombridae,Marine,Found in coastal waters over the continental shelf.,Least Concern,LC,Heavy fishing pressure,Implementing size limits and managing fishing quotas.,26090.57143,0.123599776,0.212129427,0.747986017,0.518731535,0.392730013,0.502644476,0.125794087,3.36
Spanish Mackerel,Scomberomorus commerson,Narrow-barred Spanish Mackerel,Scombridae,Marine,"A large, highly migratory, pelagic fish found in coastal and offshore waters.",Least Concern,LC,High commercial fishing pressure,Regional cooperation on implementing fishing quotas and size limits.,30397.14286,0.129585786,0.214795765,0.611028458,0.387342911,0.352145158,0.620250633,0.12183754,3.27
Cobia,Rachycentron canadum,Marine Fish,Rachycentridae,Marine,"Found in coastal waters, estuaries, and around reefs.",Least Concern,LC,Overfishing and increasing popularity in aquaculture,Monitoring wild stocks and regulating fishing.,20730,0.11886079,0.125731951,0.677472958,0.630920089,0.428979076,0.564361812,0.182822809,3.71
Snubnose Pompano,Trachinotus blochii,Marine Fish,Carangidae,Marine,"Found in shallow coastal waters, sandy beaches, and reefs. Juveniles frequent the surf zone.",Least Concern,LC,Habitat loss in critical juvenile areas,Protection of coastal and beach habitats.,26993.28571,0.142135,0.251913844,0.660797119,0.647240342,0.499222756,0.549216617,0.078218785,3.83
Giant Trevally,Caranx ignobilis,Marine Fish,Carangidae,Marine,"Found in reefs, open coastal waters, and estuaries. A large, predatory fish.",Least Concern,LC,Overfishing,Regulating fishing size and catch limits.,24460.85714,0.178660398,0.196467339,0.518726372,0.552318009,0.37129055,0.499548065,0.159151231,3.37
Yellowtail Scad,Atule mate,Marine Fish,Carangidae,Marine,"A schooling, pelagic fish found in coastal waters and around islands.",Least Concern,LC,Heavy fishing pressure,Monitoring catch levels to prevent overexploitation.,19070.57143,0.131764861,0.268164964,0.586730482,0.394329511,0.437659784,0.662969864,0.09090146,3.49
Talang Queenfish,Scomberoides commersonnianus,Marine Fish,Carangidae,Marine,"Found in coastal waters, lagoons, and near reefs. It is a fast-swimming predatory fish.",Least Concern,LC,Fishing pressure from various gear types,None specifically needed; monitoring fishing effort is sufficient.,20889.71429,0.161429992,0.148840418,0.528861455,0.482599195,0.39589512,0.631981453,0.127090281,3.52
Indian Snapper,Lutjanus johnii,Marine Fish,Lutjanidae,Marine,"Found over rocky bottoms, coral reefs, and in estuaries.",Least Concern,LC,Overfishing and habitat degradation of coastal areas and estuaries,Monitoring fishing pressure and protecting key nursery habitats.,18425,0.165583782,0.228176262,0.643192481,0.475196761,0.409215967,0.548565784,0.112668879,3.39
Humpback Red Snapper,Lutjanus gibbus,Marine Fish,Lutjanidae,Marine,Associated with offshore coral reefs and rocky areas.,Least Concern,LC,"Fishing pressure, especially on spawning aggregations",Protecting core reef habitats and managing fishing on spawning sites.,19296.14286,0.148796684,0.197372463,0.537538536,0.469967948,0.395376571,0.645514669,0.161102949,3.52
Russell's Snapper,Lutjanus russellii,Marine Fish,Lutjanidae,Marine,"Found in coastal and estuarine areas, often over mud or rubble.",Least Concern,LC,Overfishing and coastal habitat loss,Monitoring fishing effort and protecting estuarine areas.,29513.42857,0.173239823,0.113636969,0.623921136,0.543412163,0.512073744,0.427537986,0.162485558,3.47
Blackspot Snapper,Lutjanus fulviflammus,Marine Fish,Lutjanidae,Marine,"Juveniles are found in estuaries and mangroves, while adults inhabit coastal reefs and rocky areas.",Least Concern,LC,Overfishing and destruction of critical nursery habitats,"Protecting mangrove and estuarine ecosystems, and regulating fishing to protect breeding stocks.",33037.14286,0.092141651,0.257962341,0.714484869,0.436724577,0.408245157,0.52922591,0.128858864,3.29
Blue,Cephalopholis argus,Marine Fish,Serranidae,Marine,Highly associated with coral reefs and rocky bottoms.,Least Concern,LC,"Fishing pressure, especially spearfishing and hook",Establishing Marine Protected Areas (MPAs).,16977.85714,0.161285955,0.1396755,0.676453546,0.562444303,0.417387897,0.443732644,0.163394981,3.37
Coral Trout,Plectropomus leopardus,Marine Fish,Serranidae,Marine,Highly prized fish found exclusively in association with coral reefs.,Least Concern,LC,Heavy fishing pressure and severe coral reef loss due to climate change and pollution,Strict regulation of fishing and robust protection of coral reef health.,18783,0.155408025,0.133490097,0.576085342,0.280067266,0.292826635,0.450032986,0.152713362,2.7
Jewfish,Pseudosciaena diacanthus (Synonym for Protonibea diacanthus),Blackmouth Croaker,Sciaenidae,Marine,"A large, predatory fish found in coastal and offshore waters, often near estuaries. Prized for its swim bladder.",Near Threatened,NT,Extreme fishing pressure driven by the high value of its swim bladder,"Urgent regional management plans, including size and catch limits.",24704.42857,0.124529557,0.178635458,0.449760937,0.2799229,0.712354874,0.512417256,0.16003033,4.51
Starry Triggerfish,Abalistes stellatus,Marine Fish,Balistidae,Marine,Found over sandy and muddy bottoms in deep coastal waters and offshore.,Least Concern,LC,Often caught as bycatch in trawl fisheries,None specifically needed.,26978.71429,0.122977096,0.162500295,0.572750288,0.527205072,0.596389005,0.474083496,0.15861672,3.66
Indian Threadfin,Polydactylus indicus,Marine Fish,Polynemidae,Marine,"Found in coastal waters and estuaries, typically over muddy substrates. It is a large, highly valued food fish.",Vulnerable,VU,Severe overfishing and habitat loss in estuarine nursery areas,Implementing and strictly enforcing fishing quotas and minimum size limits.,26469.57143,0.160786937,0.205844117,0.647164722,0.654537488,0.348143784,0.392116561,0.126015253,5.32
Sixfinger Threadfin,Polydactylus sexfilis,Marine Fish,Polynemidae,Marine,"Found in coastal waters, surf zones, and sandy bottoms.",Least Concern,LC,Fishing pressure,Monitoring fishing efforts.,25144.57143,0.121264561,0.148493466,0.649637796,0.402098855,0.383354749,0.687607673,0.155679887,3.46
White,Siganus canaliculatus,Marine Fish,Siganidae,Marine,"Found in shallow, coastal waters, seagrass beds, and coral reefs. It is an herbivorous fish.",Least Concern,LC,Habitat destruction of seagrass beds and coral reefs,Protecting key feeding habitats.,23764,0.177946958,0.119492029,0.453315511,0.421158397,0.456689074,0.544208459,0.150666511,3.37
Indian Mackerel,Rastrelliger brachysoma,Short-bodied Mackerel,Scombridae,Marine,Found in large schools in coastal waters.,Least Concern,LC,High fishing pressure and habitat pollution in near,Sustainable fishery management.,19061,0.133482769,0.171069796,0.551494966,0.417841232,0.43911485,0.519813161,0.084478046,3.29
Mackerel,Rastrelliger faughni,Island Mackerel,Scombridae,Marine,Found in large schools in coastal and offshore waters.,Least Concern,LC,High fishing pressure,Monitoring fishing effort and stock health.,32234.28571,0.116763336,0.183668171,0.780639314,0.344036301,0.450270613,0.35992238,0.160670975,2.92
Horse Mackerel,Trachurus indicus,Indian Horse Mackerel,Carangidae,Marine,"A schooling, pelagic fish found in coastal and offshore waters.",Least Concern,LC,Heavy fishing pressure,Monitoring stock levels.,22460.42857,0.129511965,0.192075646,0.624522413,0.426898929,0.441394801,0.512157571,0.167419894,3.3
Giant Sea Catfish,Arius thalassinus,Marine Fish,Ariidae,Marine,"Found in coastal waters, estuaries, and offshore areas over mud bottoms.",Least Concern,LC,Overfishing and coastal habitat degradation,Sustainable fishing practices.,19247.14286,0.121161895,0.235835502,0.602069929,0.523039349,0.344600052,0.496247085,0.148739033,3.27
Black Bream,Acanthopagrus berda,Black Sea Bream,Sparidae,Brackish,"Brackish/Marine. Found in coastal waters, estuaries, and lower reaches of rivers.",Least Concern,LC,Habitat degradation in estuaries due to pollution and development,Protection of estuarine habitats.,30221.71429,0.122973107,0.212459948,0.628413638,0.374138595,0.330265225,0.487298004,0.138126934,2.99
Silver Sillago,Sillago sihama,Whiting,Sillaginidae,Marine,"Found in coastal waters, estuaries, and shallow sandy or muddy bottoms.",Least Concern,LC,Localized overfishing and habitat degradation of inshore waters and estuaries,Monitoring inshore fishing pressure.,20611.85714,0.076811621,0.221577437,0.597810473,0.421239526,0.380754773,0.562177994,0.151388589,3.27
Indian Threadfin,Polynemus paradiseus,Paradise Threadfin,Polynemidae,Marine,"Found in shallow, coastal waters and estuaries, especially over mud and sand bottoms.",Vulnerable,VU,Intense fishing pressure and habitat loss in its estuarine nursery areas,Protecting estuarine habitats and implementing fishing regulations.,31829.71429,0.102748148,0.213994449,0.613582559,0.461409407,0.498288219,0.498174855,0.15573281,5.43
Whipfin Mojarra,Gerres filamentosus,Marine Fish,Gerreidae,Marine,"Found in shallow, coastal waters, estuaries, and brackish lagoons.",Least Concern,LC,Habitat degradation of coastal nursery areas,Protecting estuarine habitats.,28565.85714,0.137971817,0.25454826,0.684500903,0.454503614,0.513917713,0.441575067,0.141491443,3.35
Green Chromide,Etroplus suratensis,Pearlspot,Cichlidae,Brackish,"Brackish/Freshwater. Found in estuaries, backwaters, and coastal freshwater lakes. It is the state fish of Kerala.",Least Concern,LC,Habitat loss in brackish water environments due to human development and pollution,Protecting backwater and estuarine ecosystems.,21499.14286,0.074227844,0.247120892,0.577885705,0.366148761,0.61213758,0.460901751,0.124821243,3.4
Indian Skittering Frog,Euphlyctis hexadactylus,Indian Pond Frog,Dicroglossidae,Freshwater,"This large frog is highly aquatic and lives in ponds, lakes, and other permanent water bodies.",Least Concern,LC,Habitat loss due to the draining of wetlands and pollution of water bodies,Protecting and restoring wetland habitats.,27912.85714,0.125693775,0.202796575,0.572939206,0.494955394,0.445951547,0.618189312,0.121663618,3.6
Laterite Chorus Frog,Microhyla laterite,Amphibian,Microhylidae,Freshwater (Endemic),Found exclusively in laterite rock formations and associated temporary pools and puddles in the coastal areas of Karnataka and Goa.,Data Deficient,DD,Habitat loss due to laterite quarrying and conversion of land for construction and agriculture,Urgent protection of laterite plateaus and associated seasonal habitats.,30018.57143,0.106962742,0.200965582,0.579528305,0.43975059,0.342648449,0.418161346,0.117376809,4.5
Bombay Caecilian,Ichthyophis bombayensis,Amphibian,Ichthyophiidae,Freshwater (Aquatic,Freshwater (Aquatic/Terrestrial). A burrowing species found in moist soil of moist evergreen forests and near streams.,Least Concern,LC,Habitat loss due to deforestation and human encroachment,Protecting its native forest habitats.,24804.28571,0.122840119,0.191765919,0.658702771,0.555219889,0.522524072,0.571497107,0.12270346,3.75
Scarlet,Puntius amphibius,Freshwater Fish,Cyprinidae,Freshwater,"Found in rivers, streams, ponds, and reservoirs throughout the low to mid-elevations of peninsular India. Highly adaptable.",Least Concern,LC,"Habitat degradation from pollution and siltation, and overfishing for local consumption and bait",Monitoring water quality and promoting sustainable local fishing practices.,24953.42857,0.172491853,0.190100271,0.621566031,0.400203298,0.521444701,0.408532766,0.131604101,3.22
Arulius Barb,Puntius arulius (Now Dawkinsia arulius),Now Dawkinsia arulius,Cyprinidae,Freshwater,"Endemic to the Cauvery River system in South India, preferring clear, running streams with rocky beds.",Vulnerable,VU,Habitat loss due to dams and agricultural encroachment,Strict regulation of collection for the aquarium trade. Protection and restoration of its endemic river habitats.,24021.14286,0.106962024,0.242836013,0.597113883,0.464936694,0.588552293,0.357970679,0.130721458,5.35
Bowany Barb,Puntius bovanicus (Now Dawkinsia bovanica),Now Dawkinsia bovanica,Cyprinidae,Freshwater,Found in rivers and streams in the Bhavani River system (a Cauvery tributary) and surrounding areas of the Western Ghats.,Vulnerable,VU,Habitat degradation caused by dams and weirs which alter natural water flow and block migration,Ensuring environmental flow requirements in regulated rivers and monitoring fishing pressure.,25555.71429,0.124657212,0.182546282,0.457132162,0.609587369,0.320810118,0.340768769,0.161826491,5.12
Long,Puntius dorsalis (Now Dawkinsia dorsalis),Now Dawkinsia dorsalis,Cyprinidae,Freshwater,"Found in streams, rivers, and ponds throughout peninsular India and Sri Lanka.",Least Concern,LC,Pollution and habitat loss due to human activity,Maintaining water quality in its varied habitats.,22790.14286,0.131205598,0.202018863,0.498863233,0.466021403,0.439145987,0.380412269,0.087860884,3.14
Mahecola Barb,Puntius mahecola (Now Dawkinsia mahecola),Now Dawkinsia mahecola,Cyprinidae,Freshwater,Found in streams and rivers of the southern Western Ghats.,Vulnerable,VU,Habitat degradation and fragmentation due to deforestation and agriculture,Protecting the forest streams in its endemic range.,25487.71429,0.118596151,0.16621559,0.617693858,0.538336579,0.362620067,0.453856962,0.070063509,5.26
Narayan's Barb,Puntius narayani (Now Puntius narayani),Now Puntius narayani,Cyprinidae,Freshwater,Endemic to the Cauvery River system in Karnataka. Found in clear streams.,Vulnerable,VU,"Habitat loss from deforestation, leading to siltation, and fragmentation from dams",Protecting river connectivity and controlling siltation.,23717.57143,0.088526834,0.155682041,0.58792484,0.545101412,0.492579295,0.521513075,0.177136702,5.6
Rohan's Barb,Puntius rohani (Now Puntius rohani),Now Puntius rohani,Cyprinidae,Freshwater,Endemic to the southern Western Ghats in Kerala. Found in hill streams.,Vulnerable,VU,Habitat loss and localized over,Monitoring collection and habitat protection.,30156.57143,0.141358474,0.194927716,0.716704149,0.690769709,0.426319454,0.559148387,0.135090606,5.79
Wynaad Barb,Puntius wynaadensis,Freshwater Fish,Cyprinidae,Freshwater,"Endemic to the Wayanad region (Western Ghats), found in clear, upland streams and rivers.",Vulnerable,VU,"Habitat loss and fragmentation due to deforestation, micro",Protecting the hill stream habitats and maintaining riparian health.,34181.14286,0.129986623,0.197281593,0.521803412,0.444621709,0.465982885,0.378741059,0.097316591,5.15
Assamese Garra,Garra gotyla,Freshwater Fish,Cyprinidae,Freshwater,"Found in rocky streams and rivers with fast current, mainly across northern, central, and parts of peninsular India.",Least Concern,LC,Habitat degradation from sand and gravel mining and river pollution,Protecting river substrates and controlling pollution.,29716.14286,0.11903048,0.216587918,0.583459584,0.426205158,0.459152431,0.490009552,0.130335144,3.29
Hugh's Garra,Garra hughi,Freshwater Fish,Cyprinidae,Freshwater,"Endemic to the upper reaches of rivers in the southern Western Ghats (Kerala and Tamil Nadu). Prefers clear, running water.",Vulnerable,VU,Habitat loss due to hydroelectric projects and water abstraction for irrigation,Protecting the water flow and quality of its endemic habitats.,27649.57143,0.138317201,0.186598898,0.58659452,0.437046624,0.529053129,0.586930663,0.14407127,5.59
Surendranath's Garra,Garra surendranathanii,Freshwater Fish,Cyprinidae,Freshwater,Endemic to the Periyar River system in the southern Western Ghats. Found in swift-flowing streams.,Vulnerable,VU,Habitat degradation and fragmentation from dams and human activities along the river,Protecting the critical river stretches and regulating sand mining.,23950.57143,0.125634475,0.205665207,0.570714309,0.368328152,0.508364573,0.471769611,0.13747172,5.25
Nilgiri Loach,Schistura nilgiriensis,Freshwater Fish,Nemacheilidae,Freshwater,"Endemic to the Nilgiri Hills in the Western Ghats. Found in clear, fast-flowing hill streams.",Endangered,EN,"Habitat loss due to the conversion of shola forests to tea and coffee plantations, leading to water abstraction and habitat degradation",Protection of headwater streams and shola forest patches.,26909.14286,0.124609153,0.222498699,0.647134704,0.464135816,0.315701303,0.684694614,0.147615673,6.44
Semiarmatus Loach,Schistura semiarmatus,Freshwater Fish,Nemacheilidae,Freshwater,"Found in hill streams and rivers in the Western Ghats region, preferring clear, cool, and fast-flowing water.",Least Concern,LC,Habitat degradation from siltation and pollution,Maintaining the ecological health of its stream habitats.,21773,0.146945754,0.207657801,0.491608276,0.556966582,0.519742878,0.518450848,0.100815078,3.66
Semiarmatus Loach,Nemacheilus semiarmatus,Freshwater Fish,Nemacheilidae,Freshwater,This name is an older synonym for Schistura semiarmatus (see No. 213). Habitat is hill streams and rivers in the Western Ghats.,Least Concern,LC,Habitat degradation,Stream habitat protection.,24442.28571,0.159326302,0.166934754,0.667125377,0.602527672,0.269187658,0.542751448,0.106602715,3.36
Mola Carplet,Amblypharyngodon mola,Freshwater Fish,Cyprinidae,Freshwater,"A small, schooling fish found in ponds, canals, ditches, and slow-moving water bodies across India.",Least Concern,LC,Habitat loss due to the draining of small wetlands and pollution,Protection of small freshwater bodies.,27393.28571,0.118695667,0.210738349,0.61986845,0.423728694,0.513605725,0.637297762,0.106514691,3.62
Attentive Carplet,Amblypharyngodon melettinus,Freshwater Fish,Cyprinidae,Freshwater,"Found in ponds, tanks, and streams primarily in peninsular India.",Least Concern,LC,Habitat loss and competition from introduced fish species,None specifically required.,32545.57143,0.133531378,0.19232021,0.629579767,0.533563675,0.397890326,0.337661555,0.164988168,3.12
Reba Carp,Cirrhinus reba,Freshwater Fish,Cyprinidae,Freshwater,"Found in rivers, canals, and tanks, often associated with the three major Indian carps (Catla, Rohu, Mrigal).",Least Concern,LC,Overfishing and habitat degradation in river systems,Sustainable management of river fisheries.,28708.57143,0.125522841,0.245238511,0.468126832,0.440049281,0.45346033,0.544357555,0.163866737,3.4
Vigors' Carp,Osteobrama vigorsii,Freshwater Fish,Cyprinidae,Freshwater,Endemic to the Krishna and Godavari River systems. Found in reservoirs and deeper pools of rivers.,Least Concern,LC,Habitat fragmentation from dams and introduction of non,Managing dam operations to allow for fish migration.,20512.14286,0.098508082,0.23356184,0.467258475,0.507297459,0.457683829,0.424798685,0.146804839,3.32
Neill's Carp,Osteobrama neilli,Freshwater Fish,Cyprinidae,Freshwater,"Endemic to the Krishna, Godavari, and Cauvery River systems in peninsular India.",Least Concern,LC,Habitat loss due to river regulation,Protecting its riverine habitats.,31977.42857,0.154698439,0.179076845,0.619786953,0.44402697,0.486807784,0.623344483,0.158944602,3.59
Golden Barb,Systomus chryseus (Previously Puntius chryseus),Previously Puntius chryseus,Cyprinidae,Freshwater,Found in streams and rivers of the southern Western Ghats.,Vulnerable,VU,Habitat loss and over,Monitoring the ornamental fish trade and protecting its stream habitats.,30658,0.187095978,0.185357222,0.609761913,0.414151733,0.473051224,0.503818707,0.131794057,5.32
Canara Baril,Barilius canarensis,Freshwater Fish,Cyprinidae,Freshwater (Endemic),"Found in hill streams and rivers of the Western Ghats (Karnataka). Prefers clear, rocky-bottomed, fast-flowing water.",Vulnerable,VU,Habitat degradation due to siltation and alteration of stream flow from water abstraction or small dams,Protecting the stream quality and maintaining natural flow.,26052.71429,0.141246528,0.164209197,0.542264138,0.332398848,0.346349736,0.439337734,0.122081398,4.86
Cauvery Rasbora,Rasbora caverii,Freshwater Fish,Cyprinidae,Freshwater,"Endemic to the Cauvery River drainage system. Found in clear, moderately flowing streams and rivers.",Vulnerable,VU,"Habitat degradation due to pollution, siltation, and fragmentation caused by damming projects",Protecting key stretches of the Cauvery tributaries and controlling pollution.,19649.28571,0.109363762,0.224338809,0.550448873,0.598124041,0.428115117,0.426414015,0.140115614,5.42
Ghats Baril,Barilius gatensis,Freshwater Fish,Cyprinidae,Freshwater,"Endemic to the Western Ghats, inhabiting clear, torrential hill streams and upper reaches of rivers.",Least Concern,LC,Localized threats from habitat loss due to small check dams and water diversion,Maintaining the natural flow and quality of its endemic hill streams.,31125,0.122213751,0.219634361,0.473629694,0.431950348,0.441845485,0.393185302,0.172864058,3.11
Vagra Baril,Barilius vagra,Freshwater Fish,Cyprinidae,Freshwater,"Found in clear, fast-flowing rivers and streams throughout the northern Indian subcontinent and parts of peninsular India.",Least Concern,LC,No major threats,None specifically needed.,18414.71429,0.116930758,0.10957354,0.523422709,0.4459907,0.447310553,0.290761289,0.10037271,2.97
Day's Baril,Barilius evezardi,Freshwater Fish,Cyprinidae,Freshwater,"Found in hill streams and rivers in the Satpura, Vindhya, and Western Ghats ranges, typically favoring clear, fast-flowing water.",Least Concern,LC,Habitat degradation from sand and gravel mining and river pollution,Protecting the water quality of its stream habitats.,26445.71429,0.151163461,0.195891988,0.644277356,0.57286877,0.39306697,0.581781025,0.159858659,3.58
